Date of Interest,Case Count,Bronx,Brooklyn,Manhattan,Queens,Staten Island
02/29/2020,1,0,0,1,0,0
03/01/2020,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0
03/03/2020,1,0,0,0,1,0
03/04/2020,5,0,1,2,2,0
03/05/2020,3,0,3,0,0,0
03/06/2020,8,2,1,3,1,1
03/07/2020,7,0,2,1,3,1
03/08/2020,21,3,5,6,6,1
03/09/2020,57,4,16,24,10,3
03/10/2020,69,8,11,24,24,2
03/11/2020,155,19,31,62,40,3
03/12/2020,355,29,96,137,80,13
03/13/2020,619,79,166,182,166,26
03/14/2020,642,86,163,176,194,23
03/15/2020,1035,119,432,206,231,47
03/16/2020,2121,305,740,457,528,91
03/17/2020,2452,343,783,567,651,108
03/18/2020,2971,482,965,538,835,150
03/19/2020,3707,623,1204,556,1065,258
03/20/2020,4006,723,1136,653,1184,310
03/21/2020,2638,490,554,399,947,248
03/22/2020,2580,494,756,317,696,317
03/23/2020,3570,730,910,531,1190,209
03/24/2020,4499,927,1212,619,1391,350
03/25/2020,4875,1069,1254,586,1572,394
03/26/2020,5046,998,1375,627,1642,404
03/27/2020,5117,1090,1424,656,1576,371
03/28/2020,3480,762,863,388,1201,266
03/29/2020,3560,699,1149,406,1076,230
03/30/2020,6130,1313,1754,806,1858,398
03/31/2020,5458,1282,1513,616,1810,237
04/01/2020,5448,1240,1590,573,1782,263
04/02/2020,5747,1290,1611,653,1824,369
04/03/2020,5669,1450,1440,672,1762,345
04/04/2020,3864,1011,921,385,1201,345
04/05/2020,3781,823,1141,358,1135,323
04/06/2020,6354,1514,1462,721,1927,730
04/07/2020,6043,1463,1395,607,1948,630
04/08/2020,5576,1305,1307,546,1856,562
04/09/2020,5072,1285,1370,558,1561,298
04/10/2020,4510,1226,1152,496,1335,301
04/11/2020,3733,999,1129,304,989,311
04/12/2020,2887,763,703,252,916,253
04/13/2020,3312,692,1066,394,975,185
04/14/2020,4144,1076,1037,441,1300,290
04/15/2020,3876,1068,882,429,1180,317
04/16/2020,3531,940,884,356,1140,211
04/17/2020,3584,916,959,330,1099,280
04/18/2020,2172,552,575,187,705,153
04/19/2020,2345,532,635,177,867,134
04/20/2020,3792,981,983,381,1223,224
04/21/2020,3063,641,896,373,937,216
04/22/2020,3447,927,854,383,1109,173
04/23/2020,2841,735,785,400,793,128
04/24/2020,2535,580,630,408,774,143
04/25/2020,1595,418,404,145,540,88
04/26/2020,1003,196,332,98,331,46
04/27/2020,2289,550,608,303,721,107
04/28/2020,2727,668,711,322,896,130
04/29/2020,2340,556,681,287,692,124
04/30/2020,2022,482,600,217,593,130
05/01/2020,1887,450,497,241,621,78
05/02/2020,1058,263,263,138,333,61
05/03/2020,787,153,247,103,249,35
05/04/2020,1550,348,462,214,437,89
05/05/2020,1512,294,433,242,462,81
05/06/2020,1398,279,450,165,444,60
05/07/2020,1239,298,404,119,358,60
05/08/2020,1080,250,344,99,345,42
05/09/2020,657,175,119,75,256,32
05/10/2020,457,75,188,95,85,14
05/11/2020,1231,226,410,192,376,27
05/12/2020,1285,355,400,163,314,53
05/13/2020,1334,461,362,157,307,47
05/14/2020,1110,255,333,149,331,42
05/15/2020,873,180,260,134,266,33
05/16/2020,485,108,165,51,136,25
05/17/2020,360,56,138,50,106,10
05/18/2020,894,187,266,129,274,38
05/19/2020,1003,182,327,166,286,42
05/20/2020,1077,278,323,165,255,56
05/21/2020,1069,199,336,145,311,78
05/22/2020,1036,264,350,152,238,32
05/23/2020,456,90,143,49,137,37
05/24/2020,467,101,161,69,121,15
05/25/2020,464,103,160,70,115,16
05/26/2020,1051,284,316,126,267,58
05/27/2020,743,182,246,108,164,43
05/28/2020,646,118,222,98,178,30
05/29/2020,641,164,165,73,212,27
05/30/2020,348,80,105,39,109,15
05/31/2020,230,30,84,25,79,12
06/01/2020,686,158,252,77,157,42
06/02/2020,572,122,182,71,163,34
06/03/2020,515,114,133,75,148,45
06/04/2020,523,127,130,88,148,30
06/05/2020,402,108,131,52,103,8
06/06/2020,247,50,58,33,99,7
06/07/2020,197,43,52,24,74,4
06/08/2020,449,96,112,75,147,19
06/09/2020,421,84,121,67,130,19
06/10/2020,365,76,98,69,108,14
06/11/2020,363,65,113,54,115,16
06/12/2020,409,80,122,58,131,18
06/13/2020,196,46,51,24,73,2
06/14/2020,180,27,53,28,68,4
06/15/2020,381,80,102,58,123,18
06/16/2020,420,80,133,67,120,20
06/17/2020,357,68,114,66,92,17
06/18/2020,378,60,112,58,123,25
06/19/2020,362,83,91,56,123,9
06/20/2020,203,53,46,44,54,6
06/21/2020,172,25,54,26,58,9
06/22/2020,402,92,110,63,119,18
06/23/2020,382,73,95,77,121,16
06/24/2020,381,90,101,73,103,14
06/25/2020,299,64,82,46,79,28
06/26/2020,317,66,95,63,77,16
06/27/2020,206,26,70,37,60,13
06/28/2020,202,35,58,41,57,11
06/29/2020,437,75,127,80,132,23
06/30/2020,442,77,128,94,114,29
07/01/2020,396,60,121,83,93,39
07/02/2020,416,74,127,80,118,17
07/03/2020,235,41,72,49,65,8
07/04/2020,120,21,23,32,32,12
07/05/2020,155,20,53,32,38,12
07/06/2020,433,68,142,77,117,28
07/07/2020,461,112,123,88,106,32
07/08/2020,437,83,121,120,88,25
07/09/2020,392,90,104,86,94,18
07/10/2020,308,65,90,49,91,13
07/11/2020,259,40,73,47,86,13
07/12/2020,224,44,55,42,70,13
07/13/2020,483,108,123,79,138,35
07/14/2020,403,70,111,81,122,19
07/15/2020,439,107,149,70,91,22
07/16/2020,412,94,90,84,109,35
07/17/2020,417,75,105,109,105,23
07/18/2020,216,54,58,36,49,19
07/19/2020,176,38,41,34,46,17
07/20/2020,401,95,85,80,109,32
07/21/2020,340,71,79,69,100,21
07/22/2020,330,79,96,59,76,20
07/23/2020,308,69,84,65,63,27
07/24/2020,299,73,68,55,75,28
07/25/2020,153,25,35,34,46,13
07/26/2020,140,30,40,18,33,19
07/27/2020,313,58,79,72,78,26
07/28/2020,314,58,107,58,73,18
07/29/2020,287,80,73,54,67,13
07/30/2020,274,58,99,44,61,12
07/31/2020,263,55,80,52,58,18
08/01/2020,189,37,58,33,54,7
08/02/2020,136,30,39,26,33,8
08/03/2020,348,96,93,56,84,19
08/04/2020,187,47,49,38,46,7
08/05/2020,298,66,90,47,80,15
08/06/2020,290,65,87,54,66,18
08/07/2020,255,53,90,49,57,6
08/08/2020,160,30,57,23,43,7
08/09/2020,133,19,48,18,36,12
08/10/2020,312,89,75,49,77,22
08/11/2020,264,70,83,42,51,18
08/12/2020,320,59,114,43,86,18
08/13/2020,277,60,87,51,67,12
08/14/2020,277,68,80,44,69,16
08/15/2020,151,42,33,25,42,9
08/16/2020,140,23,49,22,39,7
08/17/2020,333,71,96,57,95,14
08/18/2020,285,55,67,62,87,14
08/19/2020,257,50,69,51,69,18
08/20/2020,227,64,56,33,54,20
08/21/2020,252,52,75,51,60,14
08/22/2020,136,29,36,30,34,7
08/23/2020,150,32,55,16,40,7
08/24/2020,297,64,85,49,84,15
08/25/2020,283,64,84,54,69,12
08/26/2020,313,64,116,51,66,16
08/27/2020,273,52,99,48,61,13
08/28/2020,279,77,78,51,52,21
08/29/2020,128,28,38,23,32,7
08/30/2020,186,20,62,37,42,25
08/31/2020,315,46,118,52,77,22
09/01/2020,295,52,90,55,73,24
09/02/2020,271,42,94,48,69,17
09/03/2020,273,40,91,35,90,17
09/04/2020,230,44,71,30,59,26
09/05/2020,156,30,46,22,34,24
09/06/2020,207,18,87,27,62,13
09/07/2020,218,32,74,41,52,19
09/08/2020,394,81,127,58,98,30
09/09/2020,352,56,119,70,82,25
09/10/2020,323,45,124,57,70,27
09/11/2020,313,55,111,54,77,16
09/12/2020,202,35,51,36,61,19
09/13/2020,254,19,114,42,66,13
09/14/2020,434,75,167,69,97,26
09/15/2020,338,54,149,45,72,18
09/16/2020,367,49,164,55,82,17
09/17/2020,353,59,122,54,93,25
09/18/2020,283,45,104,44,66,24
09/19/2020,158,30,37,24,53,13
09/20/2020,158,24,60,25,28,21
09/21/2020,513,69,248,57,115,24
09/22/2020,405,59,171,51,99,25
09/23/2020,531,80,237,73,104,37
09/24/2020,476,63,236,58,93,26
09/25/2020,457,49,188,68,124,28
09/26/2020,279,42,108,35,61,33
09/27/2020,382,32,181,35,106,28
09/28/2020,436,82,139,58,109,47
09/29/2020,686,64,334,81,174,33
09/30/2020,584,52,271,86,134,41
10/01/2020,614,76,292,87,134,25
10/02/2020,597,80,264,77,140,36
10/03/2020,277,34,82,47,97,17
10/04/2020,335,34,162,29,84,26
10/05/2020,764,94,354,84,195,37
10/06/2020,571,67,251,79,145,29
10/07/2020,542,75,223,75,132,37
10/08/2020,523,83,216,79,112,33
10/09/2020,524,92,184,74,143,31
10/10/2020,313,36,95,46,99,36
10/11/2020,281,38,115,29,85,14
10/12/2020,515,53,223,85,116,37
10/13/2020,589,91,225,100,128,45
10/14/2020,582,89,214,86,159,33
10/15/2020,600,91,237,90,142,40
10/16/2020,503,78,163,91,132,38
10/17/2020,366,64,91,61,110,39
10/18/2020,412,45,171,40,123,33
10/19/2020,626,108,204,101,178,35
10/20/2020,601,91,214,104,154,38
10/21/2020,653,96,203,118,187,49
10/22/2020,758,122,242,136,182,76
10/23/2020,601,115,199,78,161,48
10/24/2020,386,73,120,58,103,32
10/25/2020,361,66,128,48,87,32
10/26/2020,695,132,221,118,154,69
10/27/2020,741,119,237,128,180,76
10/28/2020,784,125,231,135,203,90
10/29/2020,620,100,192,116,156,56
10/30/2020,653,115,191,102,168,77
10/31/2020,403,65,117,52,117,52
11/01/2020,500,57,230,66,102,45
11/02/2020,952,159,336,144,220,93
11/03/2020,903,153,319,158,181,92
11/04/2020,1111,187,311,199,277,137
11/05/2020,1140,198,312,213,306,111
11/06/2020,1036,191,238,179,297,131
11/07/2020,843,134,223,147,250,89
11/08/2020,788,106,224,133,226,99
11/09/2020,1545,240,418,268,417,202
11/10/2020,1595,274,459,308,408,146
11/11/2020,1538,239,393,290,447,169
11/12/2020,1501,247,384,300,406,164
11/13/2020,1495,272,357,263,430,173
11/14/2020,1026,193,238,160,324,111
11/15/2020,896,135,232,134,243,152
11/16/2020,1832,314,496,332,503,187
11/17/2020,1728,337,492,287,422,190
11/18/2020,1752,307,468,335,444,198
11/19/2020,1855,362,491,346,456,200
11/20/2020,1773,327,435,328,459,224
11/21/2020,1291,254,354,196,326,161
11/22/2020,1147,183,339,159,287,178
11/23/2020,2315,437,573,411,605,289
11/24/2020,2074,375,554,371,536,238
11/25/2020,2369,425,630,384,635,295
11/26/2020,808,137,242,137,200,92
11/27/2020,2298,386,603,385,651,273
11/28/2020,1787,332,444,296,500,215
11/29/2020,1727,230,504,232,483,278
11/30/2020,2802,456,863,389,717,377
12/01/2020,3139,580,878,479,840,362
12/02/2020,3009,526,809,459,833,382
12/03/2020,2876,519,822,433,766,336
12/04/2020,2809,562,763,400,756,328
12/05/2020,1882,325,505,207,597,248
12/06/2020,1755,250,556,217,516,216
12/07/2020,3309,556,965,450,968,370
12/08/2020,3063,497,923,452,900,291
12/09/2020,3107,528,912,498,850,319
12/10/2020,3150,571,941,463,897,277
12/11/2020,2982,500,838,495,881,266
12/12/2020,2206,392,600,297,699,218
12/13/2020,2177,311,645,296,677,248
12/14/2020,3582,616,1110,499,1005,351
12/15/2020,3681,633,1064,552,1093,339
12/16/2020,2784,445,842,453,808,236
12/17/2020,1924,266,647,337,488,186
12/18/2020,3429,619,1024,522,929,335
12/19/2020,2559,406,765,330,798,260
12/20/2020,2351,292,769,294,703,293
12/21/2020,4339,714,1308,599,1289,429
12/22/2020,4102,733,1253,546,1206,364
12/23/2020,3848,640,1099,524,1187,398
12/24/2020,3016,503,966,432,875,240
12/25/2020,1049,154,344,155,300,96
12/26/2020,3455,537,1024,428,1073,392
12/27/2020,2887,479,912,315,870,311
12/28/2020,5386,1017,1599,674,1533,563
12/29/2020,5205,992,1413,611,1603,585
12/30/2020,4979,968,1393,659,1494,464
12/31/2020,3386,662,935,393,1009,387
01/01/2021,1332,206,409,163,431,123
01/02/2021,4190,725,1105,516,1332,511
01/03/2021,3447,510,1057,396,1087,397
01/04/2021,6581,1252,1891,909,1873,656
01/05/2021,6146,1166,1757,888,1819,516
01/06/2021,5669,1108,1599,758,1678,525
01/07/2021,5419,980,1632,789,1565,453
01/08/2021,5290,984,1456,776,1594,480
01/09/2021,3684,677,1006,444,1185,372
01/10/2021,3199,461,1007,366,1022,343
01/11/2021,5900,1136,1753,845,1696,468
01/12/2021,5224,992,1615,668,1534,415
01/13/2021,5165,1041,1535,693,1517,379
01/14/2021,5241,991,1554,742,1534,420
01/15/2021,4821,930,1396,656,1482,356
01/16/2021,3474,607,1072,440,1058,297
01/17/2021,2902,497,900,391,859,255
01/18/2021,4635,764,1462,598,1433,378
01/19/2021,5135,1085,1475,719,1520,336
01/20/2021,4905,1035,1352,726,1438,354
01/21/2021,4926,961,1402,714,1499,350
01/22/2021,4706,1058,1323,705,1289,329
